2025-12-24 20:08:47,093 | INFO | Loading historical data from AI_forecasting\data\input\historical_2014_2025_all_wards.parquet
2025-12-24 20:08:47,175 | INFO | Unique wards: 187
2025-12-24 20:08:47,177 | INFO | Date range: 2014-01-01 00:00:00 -> 2025-12-01 00:00:00
2025-12-24 20:08:47,178 | INFO | Missing ratios (per target):
2025-12-24 20:08:47,178 | INFO |   electricity_demand: 0.000
2025-12-24 20:08:47,178 | INFO |   water_demand: 0.000
2025-12-24 20:08:47,178 | INFO |   congestion_index: 0.000
2025-12-24 20:08:47,179 | INFO |   pm25: 0.000
2025-12-24 20:08:47,179 | INFO |   population: 0.000
2025-12-24 20:08:47,179 | INFO |   rainfall: 0.000
2025-12-24 20:08:47,253 | INFO | Missing after forward/backfill:
2025-12-24 20:08:47,253 | INFO |   electricity_demand: 0.000
2025-12-24 20:08:47,253 | INFO |   water_demand: 0.000
2025-12-24 20:08:47,253 | INFO |   congestion_index: 0.000
2025-12-24 20:08:47,253 | INFO |   pm25: 0.000
2025-12-24 20:08:47,253 | INFO |   population: 0.000
2025-12-24 20:08:47,253 | INFO |   rainfall: 0.000
2025-12-24 20:08:49,700 | INFO | Fitting StandardScaler on tv_cols ...
2025-12-24 20:08:49,731 | INFO | Saved scaler to AI_forecasting\artifacts\dl\metadata\scalers.pkl
2025-12-24 21:43:29,420 | INFO | Loading historical data from AI_forecasting\data\input\historical_2014_2025_all_wards.parquet
2025-12-24 21:43:29,510 | INFO | Unique wards: 187
2025-12-24 21:43:29,510 | INFO | Date range: 2014-01-01 00:00:00 -> 2025-12-01 00:00:00
2025-12-24 21:43:29,512 | INFO | Missing ratios (per target):
2025-12-24 21:43:29,513 | INFO |   electricity_demand: 0.000
2025-12-24 21:43:29,513 | INFO |   water_demand: 0.000
2025-12-24 21:43:29,513 | INFO |   congestion_index: 0.000
2025-12-24 21:43:29,513 | INFO |   pm25: 0.000
2025-12-24 21:43:29,515 | INFO |   population: 0.000
2025-12-24 21:43:29,515 | INFO |   rainfall: 0.000
2025-12-24 21:43:29,596 | INFO | Missing after forward/backfill:
2025-12-24 21:43:29,596 | INFO |   electricity_demand: 0.000
2025-12-24 21:43:29,597 | INFO |   water_demand: 0.000
2025-12-24 21:43:29,597 | INFO |   congestion_index: 0.000
2025-12-24 21:43:29,597 | INFO |   pm25: 0.000
2025-12-24 21:43:29,597 | INFO |   population: 0.000
2025-12-24 21:43:29,597 | INFO |   rainfall: 0.000
2025-12-24 21:43:32,215 | INFO | Total time-varying cols: 70
2025-12-24 21:43:32,215 | INFO | Static columns detected: []
2025-12-24 21:43:32,216 | INFO | Fitting StandardScaler on tv_cols ...
2025-12-24 21:43:32,248 | INFO | Saved scaler to AI_forecasting\artifacts\dl\metadata\scalers.pkl
2025-12-24 21:43:32,248 | INFO | Saved meta to AI_forecasting\artifacts\dl\metadata\meta.pkl
2025-12-24 21:43:32,336 | INFO | Saved processed combined to AI_forecasting\data\input\masterdata_for_modeling.parquet
2025-12-24 21:43:32,825 | INFO | Saved sample diagnostic plots to AI_forecasting\reports\dl\preprocessing
2025-12-24 21:43:32,827 | INFO | Prep summary written to AI_forecasting\reports\dl\summary\prep_summary.json
2025-12-27 15:53:09,553 | INFO | Loading historical data from AI_forecasting\data\input\historical_2014_2025_all_wards.parquet
2025-12-27 15:53:09,694 | INFO | Unique wards: 187
2025-12-27 15:53:09,695 | INFO | Date range: 2014-01-01 00:00:00 -> 2025-12-01 00:00:00
2025-12-27 15:53:09,696 | INFO | Missing ratios (per target):
2025-12-27 15:53:09,697 | INFO |   electricity_demand: 0.000
2025-12-27 15:53:09,697 | INFO |   water_demand: 0.000
2025-12-27 15:53:09,697 | INFO |   congestion_index: 0.000
2025-12-27 15:53:09,697 | INFO |   pm25: 0.000
2025-12-27 15:53:09,697 | INFO |   population: 0.000
2025-12-27 15:53:09,697 | INFO |   rainfall: 0.000
2025-12-27 15:53:09,782 | INFO | Missing after forward/backfill:
2025-12-27 15:53:09,782 | INFO |   electricity_demand: 0.000
2025-12-27 15:53:09,783 | INFO |   water_demand: 0.000
2025-12-27 15:53:09,783 | INFO |   congestion_index: 0.000
2025-12-27 15:53:09,784 | INFO |   pm25: 0.000
2025-12-27 15:53:09,784 | INFO |   population: 0.000
2025-12-27 15:53:09,784 | INFO |   rainfall: 0.000
2025-12-27 15:53:12,180 | INFO | Total time-varying cols: 70
2025-12-27 15:53:12,180 | INFO | Static columns detected: []
2025-12-27 15:53:12,180 | INFO | Fitting StandardScaler on tv_cols ...
2025-12-27 15:53:12,208 | INFO | Saved scaler artifact to AI_forecasting\artifacts\dl\metadata\scalers.joblib
2025-12-27 15:53:12,209 | INFO | Saved meta to AI_forecasting\artifacts\dl\metadata\meta.json
2025-12-27 15:53:12,294 | INFO | Saved processed combined to AI_forecasting\data\input\masterdata_for_modeling.parquet
2025-12-27 15:53:12,848 | INFO | Saved sample diagnostic plots to AI_forecasting\reports\dl\preprocessing
2025-12-27 15:53:12,853 | INFO | Prep summary written to AI_forecasting\reports\dl\summary\prep_summary.json
2025-12-28 17:12:27,175 | INFO | Loading historical data from AI_forecasting\data\input\historical_2014_2025_all_wards.parquet
2025-12-28 17:12:27,255 | INFO | Unique wards: 187
2025-12-28 17:12:27,255 | INFO | Date range: 2014-01-01 00:00:00 -> 2025-12-01 00:00:00
2025-12-28 17:12:27,257 | INFO | Missing ratios (per target):
2025-12-28 17:12:27,257 | INFO |   electricity_demand: 0.000
2025-12-28 17:12:27,257 | INFO |   water_demand: 0.000
2025-12-28 17:12:27,257 | INFO |   congestion_index: 0.000
2025-12-28 17:12:27,257 | INFO |   pm25: 0.000
2025-12-28 17:12:27,257 | INFO |   population: 0.000
2025-12-28 17:12:27,257 | INFO |   rainfall: 0.000
2025-12-28 17:12:27,333 | INFO | Missing after forward/backfill:
2025-12-28 17:12:27,333 | INFO |   electricity_demand: 0.000
2025-12-28 17:12:27,334 | INFO |   water_demand: 0.000
2025-12-28 17:12:27,334 | INFO |   congestion_index: 0.000
2025-12-28 17:12:27,334 | INFO |   pm25: 0.000
2025-12-28 17:12:27,334 | INFO |   population: 0.000
2025-12-28 17:12:27,334 | INFO |   rainfall: 0.000
